Passage	Sample	XGal Staining	Date
12	NCS_M.MUS.musP	60	6.4.24
9	CONT_M.Spretus.stf	12	6.4.24
9	NCS_M.Spretus.stf	18.18	6.4.24
9	NCS_M.Spretus.stf	22.22	6.4.24
3	CONT_M.Spicilegus	16.13	6.4.24
3	NCS_M.Spicilegus	36.84	6.4.24
3	NCS_M.Spicilegus	38.46	6.4.24
13	CONT_M.MUS.musP	28.4	6.6.24
13	NCS_M.MUS.musP	59.74	6.6.24
13	NCS_M.MUS.musP	64.1	6.6.24
9	CONT_M.Spretus.stf	13.65	6.6.24
9	NCS_M.Spretus.stf	47.37	6.6.24
9	NCS_M.Spretus.stf	30.43	6.6.24
4	CONT_M.Spicilegus	24.42	6.6.24
4	NCS_M.Spicilegus	57.5	6.6.24
4	NCS_M.Spicilegus	53.19	6.6.24
14	CONT_M.MUS.musP	28.95	6.11.24
14	NCS_M.MUS.musP	77.14	6.11.24
14	NCS_M.MUS.musP	71.14	6.11.24
10	CONT_M.Spretus.stf	23.33	6.11.24
10	NCS_M.Spretus.stf	29.41	6.11.24
10	NCS_M.Spretus.stf	29.79	6.11.24
5	CONT_M.Spicilegus	29.95	6.11.24
5	NCS_M.Spicilegus	61.9	6.11.24
5	NCS_M.Spicilegus	59.01	6.11.24
5	CONT_M.MUS.musP	22.68	7.3.24
5	NCS_M.MUS.musP	64.65	7.3.24
5	NCS_M.MUS.musP	65.31	7.3.24
5	CONT_M.Spretus.stf	14.29	7.3.24
5	NCS_M.Spretus.stf	40.63	7.3.24
5	NCS_M.Spretus.stf	38.89	7.3.24
10	CONT_M.Spicilegus	21.19	7.3.24
10	NCS_M.Spicilegus	54.69	7.3.24
10	NCS_M.Spicilegus	54.72	7.3.24
