Sample	Caspase Value
CONT_M.MUS.musP	1838.724
CONT_M.MUS.musP	1665.734
CONT_M.MUS.musP	1601.56
CONT_M.MUS.musP	1523.435
IRRAD_M.MUS.musP	3084.333
IRRAD_M.MUS.musP	2147.919
IRRAD_M.MUS.musP	2592.507
IRRAD_M.MUS.musP	2962.071
IRRAD_M.MUS.musP	3334.414
IRRAD_M.MUS.musP	2420.229
IRRAD_M.MUS.musP	1419.905
IRRAD_M.MUS.musP	2573.056
CONT_M.MUS.domM	10792.392
CONT_M.MUS.domM	8328.668
CONT_M.MUS.domM	8035.7
CONT_M.MUS.domM	8920.185
IRRAD_M.MUS.domM	9341.918
IRRAD_M.MUS.domM	5671.283
IRRAD_M.MUS.domM	11423.147
IRRAD_M.MUS.domM	7738.62
IRRAD_M.MUS.domM	7691.382
IRRAD_M.MUS.domM	7216.229
IRRAD_M.MUS.domM	5337.842
IRRAD_M.MUS.domM	5223.916
CONT_M.MUS.musM	1484.372
CONT_M.MUS.musM	970.98
CONT_M.MUS.musM	945.869
CONT_M.MUS.musM	1263.949
IRRAD_M.MUS.musM	1803.362
IRRAD_M.MUS.musM	2725.884
IRRAD_M.MUS.musM	2561.942
IRRAD_M.MUS.musM	2245.172
IRRAD_M.MUS.musM	2467.467
IRRAD_M.MUS.musM	1386.561
IRRAD_M.MUS.musM	1858.936
IRRAD_M.MUS.musM	2984.301
IRRAD_M.MUS.musP	3528.245
IRRAD_M.MUS.musP	3581.239
IRRAD_M.MUS.musP	3240.966
IRRAD_M.MUS.musP	3600.763
IRRAD_M.MUS.musP	3199.128
IRRAD_M.MUS.musP	3335.796
IRRAD_M.MUS.musP	2945.318
IRRAD_M.MUS.musP	3313.483
IRRAD_M.MUS.domM	6944.926
IRRAD_M.MUS.domM	8322.755
IRRAD_M.MUS.domM	6841.729
IRRAD_M.MUS.domM	8810.852
IRRAD_M.MUS.domM	8900.104
IRRAD_M.MUS.domM	7555.745
IRRAD_M.MUS.domM	6189.073
IRRAD_M.MUS.domM	10515.008
IRRAD_M.MUS.musM	3553.347
IRRAD_M.MUS.musM	4153.01
IRRAD_M.MUS.musM	3731.852
IRRAD_M.MUS.musM	3321.85
IRRAD_M.MUS.musM	3620.287
IRRAD_M.MUS.musM	3614.708
IRRAD_M.MUS.musM	3812.736
IRRAD_M.MUS.musM	4423.555
