Sample	Caspase Value
CONT_M.MUS.musP	211.852
CONT_M.MUS.musP	313.65
CONT_M.MUS.musP	294.391
CONT_M.MUS.musP	195.344
IRRAD_M.MUS.musP	1251.85
IRRAD_M.MUS.musP	1334.389
IRRAD_M.MUS.musP	1020.739
IRRAD_M.MUS.musP	913.438
IRRAD_M.MUS.musP	1020.739
IRRAD_M.MUS.musP	1177.564
IRRAD_M.MUS.musP	1028.993
IRRAD_M.MUS.musP	1458.199
CONT_M.MUS.musC	407.195
CONT_M.MUS.musC	954.707
CONT_M.MUS.musC	575.026
CONT_M.MUS.musC	940.951
IRRAD_M.MUS.musC	632.803
IRRAD_M.MUS.musC	687.83
IRRAD_M.MUS.musC	792.38
IRRAD_M.MUS.musC	935.448
IRRAD_M.MUS.musC	632.803
IRRAD_M.MUS.musC	825.396
IRRAD_M.MUS.musC	508.994
IRRAD_M.MUS.musC	544.761
CONT_M.MUS.domM	668.57
CONT_M.MUS.domM	1026.242
CONT_M.MUS.domM	1923.172
CONT_M.MUS.domM	1023.49
IRRAD_M.MUS.domM	2555.975
IRRAD_M.MUS.domM	3062.217
IRRAD_M.MUS.domM	3788.565
IRRAD_M.MUS.domM	2784.334
IRRAD_M.MUS.domM	3241.053
IRRAD_M.MUS.domM	2910.895
IRRAD_M.MUS.domM	2247.827
IRRAD_M.MUS.domM	2013.965
CONT_M.MUS.musM	486.983
CONT_M.MUS.musM	473.227
CONT_M.MUS.musM	467.724
CONT_M.MUS.musM	324.656
IRRAD_M.MUS.musM	456.719
IRRAD_M.MUS.musM	550.264
IRRAD_M.MUS.musM	398.941
IRRAD_M.MUS.musM	429.206
IRRAD_M.MUS.musM	368.677
IRRAD_M.MUS.musM	346.666
IRRAD_M.MUS.musM	349.417
IRRAD_M.MUS.musM	539.258
CONT_M.MUS.domT	1733.331
CONT_M.MUS.domT	753.861
CONT_M.MUS.domT	1100.527
CONT_M.MUS.domT	597.036
IRRAD_M.MUS.domT	828.147
IRRAD_M.MUS.domT	1144.548
IRRAD_M.MUS.domT	847.406
IRRAD_M.MUS.domT	869.417
IRRAD_M.MUS.domT	960.21
IRRAD_M.MUS.domT	1056.506
IRRAD_M.MUS.domT	1301.374
IRRAD_M.MUS.domT	1095.025
CONT_M.MUS.musP	511.879
CONT_M.MUS.musP	179.849
CONT_M.MUS.musP	204.752
CONT_M.MUS.musP	215.819
IRRAD_M.MUS.musP	885.412
IRRAD_M.MUS.musP	1106.766
IRRAD_M.MUS.musP	708.33
IRRAD_M.MUS.musP	979.487
IRRAD_M.MUS.musP	705.563
IRRAD_M.MUS.musP	650.225
IRRAD_M.MUS.musP	935.217
IRRAD_M.MUS.musP	998.856
CONT_M.MUS.musC	553.383
CONT_M.MUS.musC	249.022
CONT_M.MUS.musC	550.616
CONT_M.MUS.musC	666.826
IRRAD_M.MUS.musC	805.172
IRRAD_M.MUS.musC	962.886
IRRAD_M.MUS.musC	849.443
IRRAD_M.MUS.musC	1131.668
IRRAD_M.MUS.musC	835.608
IRRAD_M.MUS.musC	863.277
IRRAD_M.MUS.musC	976.721
IRRAD_M.MUS.musC	594.886
CONT_M.MUS.domM	1770.825
CONT_M.MUS.domM	561.683
CONT_M.MUS.domM	2219.065
CONT_M.MUS.domM	730.465
IRRAD_M.MUS.domM	1170.404
IRRAD_M.MUS.domM	1704.419
IRRAD_M.MUS.domM	857.743
IRRAD_M.MUS.domM	2888.658
IRRAD_M.MUS.domM	2559.395
IRRAD_M.MUS.domM	2470.854
IRRAD_M.MUS.domM	2080.719
IRRAD_M.MUS.domM	2025.381
CONT_M.MUS.musM	442.706
CONT_M.MUS.musM	652.992
CONT_M.MUS.musM	664.059
CONT_M.MUS.musM	257.323
IRRAD_M.MUS.musM	309.894
IRRAD_M.MUS.musM	332.03
IRRAD_M.MUS.musM	290.526
IRRAD_M.MUS.musM	329.263
IRRAD_M.MUS.musM	343.097
IRRAD_M.MUS.musM	237.955
IRRAD_M.MUS.musM	301.594
IRRAD_M.MUS.musM	445.473
CONT_M.MUS.domT	448.24
CONT_M.MUS.domT	650.225
CONT_M.MUS.domT	448.24
CONT_M.MUS.domT	417.804
IRRAD_M.MUS.domT	791.337
IRRAD_M.MUS.domT	780.27
IRRAD_M.MUS.domT	539.548
IRRAD_M.MUS.domT	417.804
IRRAD_M.MUS.domT	553.383
IRRAD_M.MUS.domT	777.503
IRRAD_M.MUS.domT	857.743
IRRAD_M.MUS.domT	899.247

