Sample	Caspase Value
CONT_M.MUS.musP	541.851
CONT_M.MUS.musP	369.57
CONT_M.MUS.musP	436.26
CONT_M.MUS.musP	500.171
IRRAD_M.MUS.musP	1230.975
IRRAD_M.MUS.musP	1531.078
IRRAD_M.MUS.musP	1567.201
IRRAD_M.MUS.musP	1375.469
IRRAD_M.MUS.musP	1456.052
IRRAD_M.MUS.musP	1125.384
IRRAD_M.MUS.musP	989.226
IRRAD_M.MUS.musP	1083.703
CONT_M.MUS.domT	236.192
CONT_M.MUS.domT	541.851
CONT_M.MUS.domT	464.047
CONT_M.MUS.domT	250.085
IRRAD_M.MUS.domT	944.767
IRRAD_M.MUS.domT	1028.128
IRRAD_M.MUS.domT	1119.826
IRRAD_M.MUS.domT	1367.133
IRRAD_M.MUS.domT	1136.499
IRRAD_M.MUS.domT	1547.75
IRRAD_M.MUS.domT	1425.486
IRRAD_M.MUS.domT	1389.363
CONT_M.MUS.musB	108.37
CONT_M.MUS.musB	500.171
CONT_M.MUS.musB	280.651
CONT_M.MUS.musB	272.315
IRRAD_M.MUS.musB	1236.533
IRRAD_M.MUS.musB	2612.001
IRRAD_M.MUS.musB	3367.815
IRRAD_M.MUS.musB	3370.594
IRRAD_M.MUS.musB	2762.053
IRRAD_M.MUS.musB	1897.869
IRRAD_M.MUS.musB	2712.036
IRRAD_M.MUS.musB	2945.449
CONT_M.MUS.domM	55.575
CONT_M.MUS.domM	61.132
CONT_M.MUS.domM	80.583
CONT_M.MUS.domM	72.247
IRRAD_M.MUS.domM	789.158
IRRAD_M.MUS.domM	814.166
IRRAD_M.MUS.domM	769.707
IRRAD_M.MUS.domM	936.43
IRRAD_M.MUS.domM	850.29
IRRAD_M.MUS.domM	1128.162
IRRAD_M.MUS.domM	947.545
IRRAD_M.MUS.domM	175.06
CONT_M.MUS.musC	205.626
CONT_M.MUS.musC	119.485
CONT_M.MUS.musC	125.043
CONT_M.MUS.musC	94.477
IRRAD_M.MUS.musC	797.494
IRRAD_M.MUS.musC	1353.239
IRRAD_M.MUS.musC	864.184
IRRAD_M.MUS.musC	830.839
IRRAD_M.MUS.musC	780.822
IRRAD_M.MUS.musC	719.69
IRRAD_M.MUS.musC	864.184
IRRAD_M.MUS.musC	819.724
CONT_M.MUS.musM	125.043
CONT_M.MUS.musM	202.847
CONT_M.MUS.musM	88.919
CONT_M.MUS.musM	113.928
IRRAD_M.MUS.musM	3376.151
IRRAD_M.MUS.musM	2737.044
IRRAD_M.MUS.musM	3181.64
IRRAD_M.MUS.musM	3459.513
IRRAD_M.MUS.musM	2812.07
IRRAD_M.MUS.musM	3103.836
IRRAD_M.MUS.musM	3217.764
IRRAD_M.MUS.musM	3567.883
CONT_M.MUS.musP	540.464
CONT_M.MUS.musP	562.751
CONT_M.MUS.musP	663.044
CONT_M.MUS.musP	504.247
IRRAD_M.MUS.musP	780.051
IRRAD_M.MUS.musP	1326.087
IRRAD_M.MUS.musP	1395.734
IRRAD_M.MUS.musP	1064.213
IRRAD_M.MUS.musP	1303.8
IRRAD_M.MUS.musP	1429.165
IRRAD_M.MUS.musP	1457.024
IRRAD_M.MUS.musP	1342.802
CONT_M.MUS.domT	292.519
CONT_M.MUS.domT	958.349
CONT_M.MUS.domT	409.527
CONT_M.MUS.domT	445.744
IRRAD_M.MUS.domT	1055.855
IRRAD_M.MUS.domT	1150.576
IRRAD_M.MUS.domT	1897.196
IRRAD_M.MUS.domT	1562.888
IRRAD_M.MUS.domT	1262.011
IRRAD_M.MUS.domT	1153.361
IRRAD_M.MUS.domT	1150.576
IRRAD_M.MUS.domT	793.981
CONT_M.MUS.musB	309.235
CONT_M.MUS.musB	195.013
CONT_M.MUS.musB	156.01
CONT_M.MUS.musB	136.509
IRRAD_M.MUS.musB	2356.869
IRRAD_M.MUS.musB	2537.952
IRRAD_M.MUS.musB	3008.769
IRRAD_M.MUS.musB	1632.536
IRRAD_M.MUS.musB	2738.537
IRRAD_M.MUS.musB	2822.114
IRRAD_M.MUS.musB	3747.032
IRRAD_M.MUS.musB	1975.201
CONT_M.MUS.domM	97.506
CONT_M.MUS.domM	66.862
CONT_M.MUS.domM	89.149
CONT_M.MUS.domM	69.647
IRRAD_M.MUS.domM	234.015
IRRAD_M.MUS.domM	590.61
IRRAD_M.MUS.domM	646.328
IRRAD_M.MUS.domM	562.751
IRRAD_M.MUS.domM	579.467
IRRAD_M.MUS.domM	523.749
IRRAD_M.MUS.domM	657.472
IRRAD_M.MUS.domM	598.968
CONT_M.MUS.musC	164.368
CONT_M.MUS.musC	130.937
CONT_M.MUS.musC	133.723
CONT_M.MUS.musC	91.935
IRRAD_M.MUS.musC	807.91
IRRAD_M.MUS.musC	729.905
IRRAD_M.MUS.musC	807.91
IRRAD_M.MUS.musC	559.965
IRRAD_M.MUS.musC	621.255
IRRAD_M.MUS.musC	749.406
IRRAD_M.MUS.musC	746.62
IRRAD_M.MUS.musC	325.95
CONT_M.MUS.musM	117.008
CONT_M.MUS.musM	108.65
CONT_M.MUS.musM	105.864
CONT_M.MUS.musM	128.151
IRRAD_M.MUS.musM	2429.302
IRRAD_M.MUS.musM	2724.607
IRRAD_M.MUS.musM	2320.652
IRRAD_M.MUS.musM	2133.997
IRRAD_M.MUS.musM	2579.741
IRRAD_M.MUS.musM	1891.624
IRRAD_M.MUS.musM	1930.627
IRRAD_M.MUS.musM	2883.404
