Sample	Ratio.TUB
Mus Control	0.1567532937
Spret Control	0.1544913747
Mus NCS	1.017980636
Spret NCS	1.19062771
Mus Control	0.3937273396
Spret Control	0.2317664638
Mus NCS	1.325150524
Spret NCS	1.624576874
Mus Control	0.4261631186
Spret Control	0.2270294855
Mus NCS	0.9261157656
Spret NCS	1.402620943
