Sample	XGal Staining
CONT_M.MUS.musP	34.54
CONT_M.MUS.musP	33.48
NCS_M.MUS.musP	61.26
NCS_M.MUS.musP	61.43
CONT_M.MUS.musC	27.86
CONT_M.MUS.musC	21.15
NCS_M.MUS.musC	54
NCS_M.MUS.musC	49.53
CONT_M.MUS.musK	16.77
CONT_M.MUS.musK	15.97
NCS_M.MUS.musK	62.39
NCS_M.MUS.musK	60.25
CONT_M.MUS.musM	31.81
CONT_M.MUS.musM	30.15
NCS_M.MUS.musM	57.53
NCS_M.MUS.musM	58.71
