Sample	Expression
CONT_F1.M.mus	44.81939662
Irrad_F1.M.mus	46.35263449
CONT_F1.M.Spret	24.05029834
Irrad_F1.M.Spret	36.821167
CONT_F1.M.mus	30.16367249
Irrad_F1.M.mus	48.2305367
CONT_F1.M.Spret	19.31405055
Irrad_F1.M.Spret	24.059501
CONT_F1.M.mus	47.64501758
Irrad_F1.M.mus	53.73655174
CONT_F1.M.Spret	21.849406
Irrad_F1.M.Spret	28.22251204
