Sample	Caspase Value
CONT_M.MUS.domT	739.271
CONT_M.MUS.domT	747.704
CONT_M.MUS.domT	1281.778
CONT_M.MUS.domT	919.17
CONT_M.MUS.domT	969.766
CONT_M.MUS.domT	958.522
CONT_M.MUS.domT	1287.4
CONT_M.MUS.domT	789.867
NCS_M.MUS.domT	1020.363
NCS_M.MUS.domT	1065.337
NCS_M.MUS.domT	598.725
NCS_M.MUS.domT	632.456
NCS_M.MUS.domT	666.187
NCS_M.MUS.domT	660.565
NCS_M.MUS.domT	874.195
NCS_M.MUS.domT	685.864
CONT_M.MUS.musP	1284.589
CONT_M.MUS.musP	1009.119
CONT_M.MUS.musP	792.678
CONT_M.MUS.musP	773.002
CONT_M.MUS.musP	612.78
CONT_M.MUS.musP	857.329
CONT_M.MUS.musP	635.267
CONT_M.MUS.musP	722.405
NCS_M.MUS.musP	877.006
NCS_M.MUS.musP	767.38
NCS_M.MUS.musP	708.351
NCS_M.MUS.musP	834.842
NCS_M.MUS.musP	306.39
NCS_M.MUS.musP	615.591
NCS_M.MUS.musP	562.183
NCS_M.MUS.musP	668.998
CONT_M.Spretus.sfm	576.238
CONT_M.Spretus.sfm	1669.684
CONT_M.Spretus.sfm	1593.789
CONT_M.Spretus.sfm	609.969
CONT_M.Spretus.sfm	817.977
CONT_M.Spretus.sfm	1045.661
CONT_M.Spretus.sfm	1276.156
CONT_M.Spretus.sfm	382.285
NCS_M.Spretus.sfm	877.006
NCS_M.Spretus.sfm	1191.828
NCS_M.Spretus.sfm	491.91
NCS_M.Spretus.sfm	514.398
NCS_M.Spretus.sfm	368.23
NCS_M.Spretus.sfm	368.23
NCS_M.Spretus.sfm	286.713
NCS_M.Spretus.sfm	469.423
CONT_M.Spretus.stf	2184.082
CONT_M.Spretus.stf	2670.37
CONT_M.Spretus.stf	2521.392
CONT_M.Spretus.stf	2414.577
CONT_M.Spretus.stf	2844.647
CONT_M.Spretus.stf	3378.721
CONT_M.Spretus.stf	2718.156
CONT_M.Spretus.stf	919.17
NCS_M.Spretus.stf	2597.287
NCS_M.Spretus.stf	2498.904
NCS_M.Spretus.stf	2400.522
NCS_M.Spretus.stf	2130.674
NCS_M.Spretus.stf	1742.768
NCS_M.Spretus.stf	3381.532
NCS_M.Spretus.stf	2861.513
NCS_M.Spretus.stf	2274.031
CONT_M.MUS.musP	1046.298
CONT_M.MUS.musP	1255.558
CONT_M.MUS.musP	820.298
CONT_M.MUS.musP	516.174
CONT_M.MUS.musP	1004.446
CONT_M.MUS.musP	761.705
CONT_M.MUS.musP	599.878
CONT_M.MUS.musP	485.482
NCS_M.MUS.musP	747.754
NCS_M.MUS.musP	940.273
NCS_M.MUS.musP	633.359
NCS_M.MUS.musP	761.705
NCS_M.MUS.musP	583.137
NCS_M.MUS.musP	518.964
NCS_M.MUS.musP	1403.434
NCS_M.MUS.musP	965.384
CONT_M.MUS.musB	189.729
CONT_M.MUS.musB	161.827
CONT_M.MUS.musB	290.173
CONT_M.MUS.musB	156.247
NCS_M.MUS.musB	231.581
NCS_M.MUS.musB	145.087
NCS_M.MUS.musB	147.877
NCS_M.MUS.musB	178.568
CONT_M.MUS.musM	404.569
CONT_M.MUS.musM	1213.706
CONT_M.MUS.musM	1604.323
CONT_M.MUS.musM	672.421
CONT_M.MUS.musM	1266.718
CONT_M.MUS.musM	563.606
CONT_M.MUS.musM	524.544
CONT_M.MUS.musM	432.47
NCS_M.MUS.musM	530.124
NCS_M.MUS.musM	1431.336
NCS_M.MUS.musM	371.087
NCS_M.MUS.musM	351.556
NCS_M.MUS.musM	1121.631
NCS_M.MUS.musM	778.446
NCS_M.MUS.musM	909.582
NCS_M.MUS.musM	728.223
