Sample	Percent Stained
CONT_M.MUS.musP	31.94
CONT_M.Spretus.stf	20
1000_M.MUS.musP	50.68
1000_M.MUS.musP	52.05
1000_M.Spretus.stf	24.49
1000_M.Spretus.stf	24.53
1500_M.MUS.musP	47.22
1500_M.MUS.musP	48.28
1500_M.Spretus.stf	22.37
1500_M.Spretus.stf	18.52
2000_M.MUS.musP	70
2000_M.MUS.musP	75.81
2000_M.Spretus.stf	43.21
2000_M.Spretus.stf	30
2500_M.MUS.musP	86.30
2500_M.MUS.musP	81.28
2500_M.Spretus.stf	38.27
2500_M.Spretus.stf	39.13
